funding_org,projectnr,titel,name,engagement,pathway,scope
EM,2023-00921,Vidareutveckling HPC vid kraftvärmeverk i syfte att göra BECCS,Stockholm Exergi,1083620,BECSS,Scope 1
EM,2023-00938,Resurseffektiv användning av kalk för produktion av grönt stål i symbios med cementproduktion för minskat utsläpp av växthusgas,Heidelberg Materials,0,Energy efficiency,Scope 3
EM,2023-00938,Resurseffektiv användning av kalk för produktion av grönt stål i symbios med cementproduktion för minskat utsläpp av växthusgas,Höganäs,0,Energy efficiency,Scope 3
EM,2023-00938,Resurseffektiv användning av kalk för produktion av grönt stål i symbios med cementproduktion för minskat utsläpp av växthusgas,LKAB,0,Energy efficiency,Scope 3
EM,2023-00938,Resurseffektiv användning av kalk för produktion av grönt stål i symbios med cementproduktion för minskat utsläpp av växthusgas,Nordkalk,0,Energy efficiency,Scope 3
EM,2023-00941,Direkt reduktion av metallegeringar 2: uppskalning mot en fossilfri metallindustri,Outokumpu,0,Energy efficiency,Scope 1
EM,2023-00951,Intensifiering av bio-CCS genom additiv tillverkning för att möjliggöra energieffektiva negativa utsläpp,Stockholm Exergi,0,BECSS,Scope 1
EM,2023-01650,"Koldioxid på tåg – en teknisk systemstudie för välfungerande, hållbar och säker lastning och lossning",Vattenfall,373170,CCS,Infrastructure
EM,2024-00472,Designförberedelser FEED Slite CCS – mot noll nettoutsläpp 2030,Heidelberg Materials,238234896,CCS,Scope 1
EM,2024-01768,"Hållbara, energieffektiva och utsläppsfria CO2 absorberande lösningsmedel med immobiliserade enzymer och aminerade partikeldispersioner eller kaliumkarbonatlösningar",Stockholm Exergi,0,BECSS,Scope 3
EM,2024-01784,Användning av enzymaccelererad karbonatlösningsmedel för effektiv koldioxidavskiljning från industriella utsläpp,St1,0,CCS,Scope 1
EM,2024-02164,Carbon Network South Sweden (CNetSS) – fas 3,E.ON,192000,CCS,Infrastructure
EM,2024-02164,Carbon Network South Sweden (CNetSS) – fas 3,Sysav,273625,CCS,Infrastructure
EM,2024-02164,Carbon Network South Sweden (CNetSS) – fas 3,Uniper,25800,CCS,Infrastructure
EM,42684-2,HYBRIT (Hydrogen Breakthrough Ironmaking Technology) - forskningsprojekt,Vattenfall,735200,Electricity and hydrogen,Others
EM,42684-2,HYBRIT (Hydrogen Breakthrough Ironmaking Technology) - forskningsprojekt,SSAB,3827219,Electricity and hydrogen,Scope 1
EM,42684-2,HYBRIT (Hydrogen Breakthrough Ironmaking Technology) - forskningsprojekt,LKAB,4690763,Electricity and hydrogen,Scope 1
EM,42684-3,HYBRIT Pilotanläggning - genomförbarhetsstudie,SSAB,856046,Electricity and hydrogen,Scope 1
EM,42684-3,HYBRIT Pilotanläggning - genomförbarhetsstudie,Vattenfall,2030795,Electricity and hydrogen,Others
EM,42684-3,HYBRIT Pilotanläggning - genomförbarhetsstudie,LKAB,6541898,Electricity and hydrogen,Scope 1
EM,46752-1,HYBRIT Pilot Fossilfri pellets,LKAB,22047349,Electricity and hydrogen,Scope 1
EM,46970-1,Förnybar vätgasproduktion – genomförbarhetsstudie på väg mot ett fossilfritt raffinaderi,Vattenfall,665000,Electricity and hydrogen,Others
EM,46970-1,Förnybar vätgasproduktion – genomförbarhetsstudie på väg mot ett fossilfritt raffinaderi,Preem,2285000,Electricity and hydrogen,Scope 1
EM,47607-1,PREEM CCS – Infångning och lagring av koldioxid,Preem,3748000,CCS,Scope 1
EM,49101-1,Tester av BECCS genom HPC vid kraftvärmeverk,Stockholm Exergi,4345030,BECSS,Scope 1
EM,49101-2,Utvidgade tester av BECCS genom HPC vid kraftvärmeverk,Stockholm Exergi,3717830,BECSS,Scope 1
EM,49869-1,Rollen av BioCCS för negativa koldioxidutsläpp i Uppsala kommun,Vattenfall,387000,BECSS,Scope 1
EM,50892-1,Infrastruktur för transport och mellanlagring av infångad koldioxid – en effektiv distributionskedja,Preem,250500,CCS,Infrastructure
EM,50892-1,Infrastruktur för transport och mellanlagring av infångad koldioxid – en effektiv distributionskedja,Renova,217500,CCS,Infrastructure
EM,50892-1,Infrastruktur för transport och mellanlagring av infångad koldioxid – en effektiv distributionskedja,St1,217500,CCS,Infrastructure
EM,51413-1,"NEMO, Klimatneutral molybdentillsats till stål",Outokumpu,50400,Energy efficiency,Scope 3
EM,51956-1,Plastreturraffinaderi i Stenungsund,Borealis,18260500,Recycling,Scope 1
EM,52606-1,Sysav - övergripande förstudie avfalls-CCS,Sysav,972500,WtE-CSS,Scope 1
EM,52795-1,Förstudie – från fossilfri järnsvamp till färdig produkt,SSAB,40000,Electricity and hydrogen,Scope 1
NV,KKL-00199-2016,Ellinge uppgraderingsanläggning,E.ON,0,Biofuels and biomass,Scope 1
NV,KKL-00199-2016,Ellinge uppgraderingsanläggning,St1,6550000,Biofuels and biomass,Scope 1
NV,KKL-00237-2016,Högbytorp Torrötningsanläggning,St1,74760000,Biofuels and biomass,Scope 1
NV,KKL-01138-2016,Energieffektivisering,E.ON,1214615,Energy efficiency,Others
NV,KKL-02172-2017,Produktionsanläggning för LBG i Linköping,Tekniska verken i Linköping,30576229,Biofuels and biomass,Scope 3
NV,KKL-02186-2017,Sorteringsanläggning restavfall,Stockholm Exergi,134000000,Recycling,Scope 3
NV,KKL-02864-2017,Utveckla återbruket på Linköpings ÅVCer,Tekniska verken i Linköping,1750000,Recycling,Scope 3
NV,KKL-03073-2018,Energilager för minskat fossilbränslebehov,Tekniska verken i Linköping,29700000,Energy efficiency,Others
NV,KKL-03478-2018,Konvertering av värmeanläggning från olja,Vattenfall,1573200,Biofuels and biomass,Scope 1
NV,KKL-04499-2018,Ökad energiåtervinning för fjärrvärme,Höganäs,1530000,Energy efficiency,Others
NV,KKL-04926-2018,Ökad gasproduktion o minskade emissioner,Tekniska verken i Linköping,10237500,Biofuels and biomass,Scope 3
NV,KKL-06055-2019,Gastät gödselbrunn Åby,Tekniska verken i Linköping,11250000,Biofuels and biomass,Scope 3
NV,KKL-07506-2020,Spillvärme LKAB/TVAB,LKAB,77911190,Energy efficiency,Others
NV,KKL-07660-2020,Värmeväxlaranläggning gruvventilation Kankbergsgruvan,Boliden,5600000,Energy efficiency,Scope 2
NV,KKL-08029-2021,Leverans av Biogas till Industrikund i södra Skåne,E.ON,294750,Biofuels and biomass,Others
NV,KKL-09149-2021,Energikonvertering till Biogas,Outokumpu,26464500,Biofuels and biomass,Scope 1
NV,KKL-09195-2021,Gärstad sorteringsanläggning,Tekniska verken i Linköping,134190000,Recycling,Scope 3
NV,KKL-09221-2021,Borås UBG/LBG,St1,35710000,Biofuels and biomass,Scope 2
NV,KKL-09384-2021,Produktion av syntetiskt hållbart flygbränsle i kommersiell skala,Vattenfall,145000000,Electricity and hydrogen,Scope 3
NV,KKL-09836-2022,Utökad produktion av LBG vid Linköpings biogasanläggning,Tekniska verken i Linköping,149850000,Biofuels and biomass,Scope 3
NV,KKL-10065-2022,Ecolink - Nyttja spillvärme till Skellefteås fjärrvärmenät,Boliden,46550000,Energy efficiency,Others
NV,KKL-10151-2022,Förvätskning av koldioxid från biogasproduktion,Tekniska verken i Linköping,21600000,Bio-CCU,Scope 3
NV,NV-06777-15,Ombyggnad och anpassning av utrustning från fossilt bränsle till biobränsle,Nordkalk,550000,Biofuels and biomass,Scope 1
NV,NV-24-004039,Installation av silokapacitet för produktion av betong med lägre klimatpåverkan.,Heidelberg Materials,540000,Energy efficiency,Scope 1
NV,NV-24-004080,Installation av silokapacitet för produktion av betong med lägre klimatpåverkan.,Heidelberg Materials,540000,Energy efficiency,Scope 1
